business_name,phone,phone_type,category,city,state,source,discovery_method,website,is_sole_proprietor,found_at
Barrellibarber,(985) 412-8185,website,barber,Cypress Cove,LA,bing:barrellibarber.com,bing_website,https://barrellibarber.com,True,2026-07-28T06:45:26
Findingouradventure,(225) 596-5294,website,barber,Hagen (historical),LA,bing:findingouradventure.com,bing_website,https://www.findingouradventure.com,True,2026-07-28T06:52:09
Mrmightyelectric,(225) 367-3768,website,electrician,Robson,LA,bing:mrmightyelectric.com,bing_website,https://www.mrmightyelectric.com,True,2026-07-28T06:45:30
Chatgpt,(337) 615-8101,website,electrician,Jonesville,LA,bing:chatgpt.com,bing_website,https://chatgpt.com,True,2026-07-28T06:59:12
Chatgpt,(337) 573-5072,website,electrician,Jonesville,LA,bing:chatgpt.com,bing_website,https://chatgpt.com,True,2026-07-28T06:59:12
3Daistudio,(225) 557-9198,website,hair_salon,Bayou Boeuf,LA,bing:3daistudio.com,bing_website,https://www.3daistudio.com,True,2026-07-28T07:02:42
Vogue,(225) 608-6446,website,hair_salon,Lapine,LA,bing:vogue.com,bing_website,https://www.vogue.com,True,2026-07-28T07:03:40
Vogue,(985) 354-4587,website,hair_salon,Lapine,LA,bing:vogue.com,bing_website,https://www.vogue.com,True,2026-07-28T07:03:40
Mybeautyexchange,(985) 880-3885,website,hair_salon,Dunlap,LA,bing:mybeautyexchange.com,bing_website,https://www.mybeautyexchange.com,True,2026-07-28T07:04:37
Mybeautyexchange,(225) 512-7725,website,hair_salon,Dunlap,LA,bing:mybeautyexchange.com,bing_website,https://www.mybeautyexchange.com,True,2026-07-28T07:04:37
Ia902800.Us.Archive.Org,(504) 401-1782,website,hvac,Norma,LA,bing:ia902800.us.archive.org,bing_website,https://ia902800.us.archive.org,True,2026-07-28T06:45:56
Ia902800.Us.Archive.Org,(318) 384-9128,website,hvac,Norma,LA,bing:ia902800.us.archive.org,bing_website,https://ia902800.us.archive.org,True,2026-07-28T06:45:56
Airbnb,(337) 365-7992,website,hvac,Plaza 12 Garden Homes,LA,bing:airbnb.com,bing_website,https://www.airbnb.com,True,2026-07-28T06:46:23
Tradingview,(985) 363-3024,website,hvac,Jaco Mobile Home Park,LA,bing:tradingview.com,bing_website,https://www.tradingview.com,True,2026-07-28T06:47:31
Jonathanadler,(225) 969-2578,website,hvac,Edith,LA,bing:jonathanadler.com,bing_website,https://jonathanadler.com,True,2026-07-28T06:47:31
Jonathanadler,(337) 618-6402,website,hvac,Edith,LA,bing:jonathanadler.com,bing_website,https://jonathanadler.com,True,2026-07-28T06:47:31
Finanzen.Net,(985) 438-6682,website,hvac,Meadow Creek Ranch,LA,bing:finanzen.net,bing_website,https://www.finanzen.net,True,2026-07-28T06:48:10
Scribd,(225) 440-8967,website,hvac,Red River Landing,LA,bing:scribd.com,bing_website,https://www.scribd.com,True,2026-07-28T06:50:37
Scribd,(318) 665-7131,website,hvac,Red River Landing,LA,bing:scribd.com,bing_website,https://www.scribd.com,True,2026-07-28T06:50:37
Icc Cricket,(225) 263-2260,website,hvac,Goldman,LA,bing:icc-cricket.com,bing_website,https://www.icc-cricket.com,True,2026-07-28T06:50:42
Antarcticacruises,(504) 605-7394,website,hvac,Naka,LA,bing:antarcticacruises.com,bing_website,https://www.antarcticacruises.com,True,2026-07-28T06:52:09
Antarcticacruises,(985) 376-0726,website,hvac,Naka,LA,bing:antarcticacruises.com,bing_website,https://www.antarcticacruises.com,True,2026-07-28T06:52:09
Lsc.Gov,(337) 366-9801,website,hvac,Clarks,LA,bing:lsc.gov,bing_website,https://www.lsc.gov,True,2026-07-28T06:56:45
Nbcnews,(985) 418-2174,website,hvac,Powell Ridge,LA,bing:nbcnews.com,bing_website,https://www.nbcnews.com,True,2026-07-28T06:58:10
Southernairnow,(337) 245-2591,website,hvac,Pulpwood Spur,LA,bing:southernairnow.com,bing_website,https://www.southernairnow.com,True,2026-07-28T07:00:49
Southernairnow,(318) 310-1628,website,hvac,Pulpwood Spur,LA,bing:southernairnow.com,bing_website,https://www.southernairnow.com,True,2026-07-28T07:00:49
Cenlabrokenac,(318) 542-0352,website,hvac,Pulpwood Spur,LA,bing:cenlabrokenac.com,bing_website,https://www.cenlabrokenac.com,True,2026-07-28T07:00:50
Integrativepsychology.Org,(985) 800-2431,website,hvac,Cypress Creek Mobile Home Court,LA,bing:integrativepsychology.org,bing_website,https://www.integrativepsychology.org,True,2026-07-28T07:02:21
Marketcapwatch,(504) 451-0424,website,hvac,Evangeline Hermitage Estates,LA,bing:marketcapwatch.com,bing_website,https://www.marketcapwatch.com,True,2026-07-28T07:02:34
Marketcapwatch,(318) 598-8324,website,hvac,Evangeline Hermitage Estates,LA,bing:marketcapwatch.com,bing_website,https://www.marketcapwatch.com,True,2026-07-28T07:02:34
Baystreetyard,(337) 852-1857,website,landscaping,Billis (historical),LA,bing:baystreetyard.com,bing_website,https://baystreetyard.com,True,2026-07-28T06:45:35
Us.Grounds Fw,(318) 713-7842,website,landscaping,Audubon,LA,bing:us.grounds-fw.com,bing_website,https://us.grounds-fw.com,True,2026-07-28T06:47:12
Us.Grounds Fw,(318) 340-2290,website,landscaping,Audubon,LA,bing:us.grounds-fw.com,bing_website,https://us.grounds-fw.com,True,2026-07-28T06:47:12
Familyautoandquiklube,(337) 477-5367,website,mechanic,Oakcreek Estates Mobile Home Park,LA,bing:familyautoandquiklube.com,bing_website,https://familyautoandquiklube.com,True,2026-07-28T06:52:17
Pornhub,(225) 538-3871,website,nurse,Noble Manor,LA,bing:pornhub.com,bing_website,https://www.pornhub.com,True,2026-07-28T06:48:32
Pornhub,(225) 823-5721,website,nurse,Chackbay,LA,bing:pornhub.com,bing_website,https://www.pornhub.com,True,2026-07-28T06:52:19
Pornhub,(318) 965-4861,website,nurse,Hicks,LA,bing:pornhub.com,bing_website,https://www.pornhub.com,True,2026-07-28T06:54:26
Pornhub,(985) 571-6181,website,nurse,Oak Alley,LA,bing:pornhub.com,bing_website,https://www.pornhub.com,True,2026-07-28T06:57:22
Pornhub,(337) 319-5397,website,nurse,North Shore,LA,bing:pornhub.com,bing_website,https://www.pornhub.com,True,2026-07-28T07:02:33
Auntdominant.Tumblr,(318) 813-4680,website,physical_therapy,Hidden Oaks,LA,bing:auntdominant.tumblr.com,bing_website,https://auntdominant.tumblr.com,True,2026-07-28T06:45:49
Tumblr,(504) 983-4330,website,physical_therapy,Pate Place,LA,bing:tumblr.com,bing_website,https://www.tumblr.com,True,2026-07-28T06:46:33
Tumblr,(504) 984-3617,website,physical_therapy,Pate Place,LA,bing:tumblr.com,bing_website,https://www.tumblr.com,True,2026-07-28T06:46:33
Cellphones.Vn,(337) 955-1186,website,plumber,Welcome,LA,bing:cellphones.com.vn,bing_website,https://cellphones.com.vn,True,2026-07-28T06:53:10
Winsipedia,(225) 806-4515,website,plumber,Vixen,LA,bing:winsipedia.com,bing_website,https://www.winsipedia.com,True,2026-07-28T07:00:30
Winsipedia,(225) 806-4516,website,plumber,Vixen,LA,bing:winsipedia.com,bing_website,https://www.winsipedia.com,True,2026-07-28T07:00:30
Cmchouma,(985) 876-6187,website,plumber,Hemphill,LA,bing:cmchouma.com,bing_website,https://www.cmchouma.com,True,2026-07-28T07:01:20
Jobs.Hilton,(985) 676-2989,website,plumber,Siegle,LA,bing:jobs.hilton.com,bing_website,https://jobs.hilton.com,True,2026-07-28T07:01:29
Capitolroofinginc,(985) 955-6332,website,roofer,Nairn,LA,bing:capitolroofinginc.com,bing_website,https://www.capitolroofinginc.com,True,2026-07-28T06:45:27
Capitolroofinginc,(318) 255-2504,website,roofer,Nairn,LA,bing:capitolroofinginc.com,bing_website,https://www.capitolroofinginc.com,True,2026-07-28T06:45:27
Growtherapy,(225) 999-9999,website,therapist,Redwine (historical),LA,bing:growtherapy.com,bing_website,https://growtherapy.com,True,2026-07-28T06:45:28
Uploads.Teachablecdn,(225) 954-9886,website,therapist,Gillis,LA,bing:uploads.teachablecdn.com,bing_website,https://uploads.teachablecdn.com,True,2026-07-28T06:58:54
Economictimes.Indiatimes,(337) 466-4772,website,therapist,Warnerton,LA,bing:economictimes.indiatimes.com,bing_website,https://economictimes.indiatimes.com,True,2026-07-28T07:00:21
